board, counter, time, size of dictionary, max moves, random runs
4, 90, 2213.13300014, , ,
6, 397, 438.202, 4198, ,
7, 1954, 22445.526, 148189, 5000, 4000
6, 230, 45703, 365315, 5000, 1000
5, 491, 338.502, 1331, 1000, 
7, 1298, 4561, 37175, 5000, 1000
5, 207, 2638.326, 10731, 1000, 10000
4, 149, 1334.453, 16875, 3000, 1000
6, 142, 3384.501, 64136, 1000, 10000
7, 1201, 7883.526, 17760, 3000, 5000
6, 138, 974.118, 7451, 500, 10000
4, 130, 783.798, 16604, 3000, 1000
4, 89, 2358.015, 83026, 5000, 1000
6, 128, 3612.853, 2619, 300, 50000
6, 117, 2702.812, 12937, 500, 20000
5, 322, 6296.116, 466, 500, 50000
7, 1139, 16660.496, 11666, 2000, 20000
6, 77, 14159.090, 64010, 500, 20000
